nom_site,adresse,cp,idpw,nombre_de_borne_wifi,etat,latitude,longitude
BIBLIOTHEQUE MELVILLE ET MARGUERITE DURAND,79 RUE NATIONALE,75013,PW0221,3,Opérationnel,48.82678697107449,2.3664399118366863
CENTRE SPORTIF GEORGES CARPENTIER,81 BOULEVARD MASSENA,75013,PW0103,4,Opérationnel,48.820237188844665,2.3681251513067862
SQUARE FERDINAND BRUNOT,PLACE FERDINAND BRUNOT,75014,PW0065,1,Opérationnel,48.8328511609528,2.3267672261372168
SQUARE SERMENT DE KOUFRA,30 AVENUE ERNEST REYER,75014,PW0188,1,Opérationnel,48.82159345390935,2.323034982175869
POINT PARIS EMPLOI,12 RUE PIERRE CASTAGNOU,75014,PW0195,1,Opérationnel,48.83252306871405,2.325814319838129
PARC MONTSOURIS - GARDE GAZAN,2 RUE GAZAN,75014,PW0213,1,Opérationnel,48.824367644891204,2.3398255642883012
MUSEE DE LA LIBERATION,4 AVENUE DU COLONEL ROL TANGUY PAVILLON OUEST,75014,PW0201,7,Opérationnel,48.833990634788535,2.332014460030507
MAIRIE DU 14 EME,2 PLACE FERDINAND BRUNOT,75014,PW0035,1,Opérationnel,48.832997279587715,2.3268543569490587
LES CATACOMBES DE PARIS,1 TER PLACE DENFERT ROCHEREAU,75014,PW0239,2,Opérationnel,48.83379546023932,2.332369291641684
PARC MONTSOURIS - GARDE COTY,2 RUE GAZAN,75014,PW0212,1,Opérationnel,48.82451919846644,2.3398723673854613
PARC MONTSOURIS - STATION RER,BOULEVARD JOURDAN,75014,PW0214,1,Opérationnel,48.822331067615,2.329491797866467
SQUARE ASPIRANT DUNAND,RUE MOUTON DUVERNET,75014,PW0063,1,Opérationnel,48.83215523073599,2.326884536863806
SQUARE JULIA BARTET,1 RUE JULIA BARTET,75014,PW0183,1,Opérationnel,48.825685501127516,2.302824808848508
GYMNASE ALICE MILLIAT,11 T RUE D ALESIA,75014,PW0094,1,Opérationnel,48.82716090943827,2.3362638390068327
